mode,seed,exit,cnf_hash,runtime_ms,status
circulant,0,20,4ade8e81df46312f,16,UNSAT
circulant,1,20,b862c91c50cf84c3,10,UNSAT
circulant,2,20,98e68d6885dc9116,14,UNSAT
circulant,3,20,4edbac02743f38db,12,UNSAT
circulant,4,20,f1d06ada6bdd0ebf,9,UNSAT
circulant,5,20,9730f4381995522e,9,UNSAT
circulant,6,20,ec913272cf2c7776,12,UNSAT
circulant,7,20,44823872bc4109d9,11,UNSAT
circulant,8,20,e1405b32b1b250b0,10,UNSAT
circulant,9,20,b32fd8065cba93be,8,UNSAT
circulant,10,20,dd061d0980fcc7b3,10,UNSAT
circulant,11,20,a1e1fc5d0615916e,10,UNSAT
circulant,12,20,1fa423b303dd7760,9,UNSAT
circulant,13,20,850aa1fea6899629,10,UNSAT
circulant,14,20,ce851bc32faf0bc0,10,UNSAT
circulant,15,20,1a8c0134694f706c,16,UNSAT
circulant,16,20,ce6f2821380adad9,9,UNSAT
circulant,17,20,4d168180e83d346d,10,UNSAT
circulant,18,20,d45c0698a30b0a08,10,UNSAT
circulant,19,20,6248dc602555035b,11,UNSAT
circulant,20,20,235d037b23fd40bb,10,UNSAT
circulant,21,20,9179b59e692ad9d8,12,UNSAT
circulant,22,20,304adf6151af0218,8,UNSAT
circulant,23,20,6e188c1ef5e3cb4,10,UNSAT
circulant,24,20,d589121796ffbb15,10,UNSAT
circulant,25,20,8fa99ddce34e9df4,11,UNSAT
circulant,26,20,93d0f4904989a1e2,12,UNSAT
circulant,27,20,bc04fafe19cc34ed,11,UNSAT
circulant,28,20,877c3bcead9abaa7,8,UNSAT
circulant,29,20,cf6c4cf1e7f904ba,9,UNSAT
circulant,30,20,1b9726b92b5de555,10,UNSAT
circulant,31,20,d4c77bd7136f6286,10,UNSAT
circulant,32,20,71be84b304b2fdf,9,UNSAT
circulant,33,20,bf81c8950518662e,14,UNSAT
circulant,34,20,de4f17015b98889c,12,UNSAT
circulant,35,20,8a51475dbdd1ef42,10,UNSAT
circulant,36,20,eea0f1295e9b75be,10,UNSAT
circulant,37,20,d8908b82b4491265,9,UNSAT
circulant,38,20,d8b31de3c485c386,11,UNSAT
circulant,39,20,97e28ef70e0af51e,10,UNSAT
circulant,40,20,2bea0805c9de5de4,11,UNSAT
circulant,41,20,9e66881219a94a7f,12,UNSAT
circulant,42,20,d902e41f6dcf3e1c,10,UNSAT
circulant,43,20,4ecf89032e79c630,10,UNSAT
circulant,44,20,6e0e8023c46152d,11,UNSAT
circulant,45,20,8f9f30263fd51cc6,12,UNSAT
circulant,46,20,bba22bf95d1b900f,10,UNSAT
circulant,47,20,d91d1e24ae424b21,10,UNSAT
circulant,48,20,7bc944dfc315c9b7,10,UNSAT
circulant,49,20,bc811264e8014f88,10,UNSAT
config_model,0,124,e3f0ba1e8d64597e,60005,UNKNOWN
config_model,1,124,74a2e777d287d45a,60005,UNKNOWN
config_model,2,124,f1bc497ed44c3ef4,60004,UNKNOWN
config_model,3,124,88221a4dfb5920,60005,UNKNOWN
config_model,4,124,c263f6f6c7b813ce,60005,UNKNOWN
config_model,5,124,d56f32b6342133b4,60006,UNKNOWN
config_model,6,124,b801146cfb32d850,60005,UNKNOWN
config_model,7,124,784f44af53f949c6,60005,UNKNOWN
